User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
CDC,@CDCgov,2021-04-21T20:51:02.000Z,"Nearly 60% of U.S. states and territories are reporting high rates of #COVID19. Help slow the spread in your community:
 Wear a mask. 
 Stay 6 feet apart.
 Get vaccinated when it’s available to you.
 Avoid crowds.
More: https://bit.ly/36EDJQI.",79,194,308
CDC,@CDCgov,2021-04-21T20:07:04.000Z,"#DYK? The Federal Retail Pharmacy Program partners with retail pharmacies to expand #COVID19 vaccination at community sites like schools, stadiums, & more. 

Read stories from the field to learn how pharmacies are helping get people vaccinated in the U.S.: https://bit.ly/3elkhwb",15,26,73
CDC,@CDCgov,2021-04-21T19:26:04.000Z," COVID-19 Science Update:

Read the latest #COVID19 research on school reopening strategies, spread of virus during church singing, and more.
 Read the full update: https://bit.ly/3x3iULj.",12,40,84
CDC,@CDCgov,2021-04-20T17:49:00.000Z,"CDC’s Commander Erin Sauber-Schatz shares how student athletes & everyone else can slow the spread of #COVID19: #WearAMask
. Stay at least 6 ft apart. Avoid crowds & poorly ventilated spaces. Wash hands often. Get a vaccine when it's available to you. More: https://bit.ly/2X0zmwc",48,91,170
CDC,@CDCgov,2021-04-20T16:59:02.000Z,Traveling to a national park for National Park Week? Check Travel Planner for COVID-19-related guidance for your destination and along your route: https://bit.ly/37GJVZX.,12,53,142
CDC,@CDCgov,2021-04-20T15:10:03.000Z,"The recent pause on Johnson & Johnson’s #COVID19 Vaccine shows that safety monitoring systems, like the Vaccine Adverse Event Reporting System (VAERS), are working. Learn about VAERS: https://bit.ly/3mVzhoA.",29,144,298
CDC,@CDCgov,2021-04-20T15:10:04.000Z,"CDC takes all issues reported after vaccination seriously. Reports to VAERS quickly revealed a few cases of blood clots with low platelets, out of nearly 7M administered doses of J&J Vaccine. The pause reflects CDC’s commitment to safety and transparency. https://bit.ly/3adm19u",9,61,127
CDC,@CDCgov,2021-04-20T15:10:05.000Z,"As of April 13, there have been no reports to VAERS of people having blood clots with low platelets after Pfizer-BioNTech or Moderna COVID-19 vaccination. You can still be vaccinated with these vaccines. Learn about how CDC is ensuring vaccine safety: https://bit.ly/3spmZFZ.",20,95,154
ACLgov,@ACLgov,2021-04-19T13:43:32.000Z,"Apr. 21: 
@WHCOVIDResponse
 & 
@CDCgov
 virtual forum: Breaking Down Barriers for People Who Have Challenges Accessing #COVID19 Vaccination. Incl. people w/ #disabilities. ACL Acting Admin. Alison Barkoff + CDC & 
@fema
 speakers. Relay captions, ASL. Register: http://ow.ly/waY950Es2nb",1,44,76
CDC,@CDCgov,2021-04-19T21:00:15.000Z,"#COVID19 vaccines are a safe way to build protection.

As of April 19, more than 132.3 million people in the United States had received at least one dose of COVID-19 vaccine. Of those, more than 85.3 million are fully vaccinated. 

More: http://bit.ly/CDT_vaccine.",92,289,556
CDC,@CDCgov,2021-04-19T20:16:02.000Z,"Youth sports administrators & coaches: CDC has a toolkit to protect teams & players and communicate with your community during #COVID19. Find guidance and planning documents, web resources, posters, fact sheets, & more: https://bit.ly/3x5qTqZ.",40,98,150
CDC,@CDCgov,2021-04-19T18:52:02.000Z,"Has your child received a diagnosis of acute flaccid myelitis? To get answers about what to expect & what questions to ask your child’s doctors, listen to a new podcast developed by CDC and 
@wearesrna
: https://bit.ly/3mXgLvW. #AFM",11,33,59
CDC,@CDCgov,2021-04-17T17:48:03.000Z,"Talk with your children and co-parent about the importance of healthy behaviors, like wearing a mask and staying 6 feet from others. Share how practicing these habits consistently will help protect everyone from #COVID19. Learn more: https://bit.ly/3bGvO6p.",84,141,258
CDC,@CDCgov,2021-04-17T15:15:05.000Z,"Deblina Datta says #COVID19 causes more illness than nearly any other disease she knows. “When I expect this virus to zig, it zags,” she says. As a vaccine expert, Deblina encourages everyone to get a #COVID19 vaccine when it’s available to them. More: https://bit.ly/3wZEOir.",30,95,234
CDC,@CDCgov,2021-04-16T21:00:12.000Z,"Despite more Americans being vaccinated every day, #COVID19 cases and hospitalizations are increasing in some parts of the country. Cases are increasing among young people who have not yet been vaccinated. Read more about the state of the pandemic: http://bit.ly/CDTweeklyreview.",93,230,262
CDC,@CDCgov,2021-04-16T21:09:05.000Z,Subscribe to get CDC’s COVID Data Tracker Weekly Review sent to your inbox every Friday: http://bit.ly/CDTsubscribe.,11,18,52
CDC,@CDCgov,2021-04-16T20:30:04.000Z,"Based on COVID-NET data in recent weeks, rates of #COVID19 hospitalizations in adults ages 50–64 have risen faster than other age groups in several states. 
 Wear a mask 
 Stay 6 feet from others
 Get vaccinated when you can 

Learn more: https://bit.ly/2ETd34F",92,265,355
CDC,@CDCgov,2021-04-16T18:59:01.000Z,"#DYK? Risk for severe illness from #COVID19 increases with age, with older adults at highest risk. Help older adults in your family or community by offering to make their vaccination appointment or driving them to get their shot. Learn more: https://bit.ly/3uUqyFN.",18,84,143
CDC HIV/AIDS,@CDC_HIVAIDS,2021-04-15T15:02:10.000Z,"1 in 5 people in the U.S. had a sexually transmitted infection on any given day in 2018. For STD Awareness Week (April 11-17), know your #STD care options so you can continue to #TalkTestTreat. https://go.usa.gov/xsFSU #STDWeek",9,56,74
CDC AMD,@CDC_AMD,2021-04-16T18:00:46.000Z,"The White House announced $1.7 billion investment through 
@CDCgov
 to increase genomic surveillance of SARS-CoV-2. #COVID19 #AMDWhite House COVID-19 Response Team
@WHCOVIDResponse
 · Apr 16
Today, we are announcing a $1.7 billion investment for the CDC and state and local public health departments to monitor, track, and defeat emerging threats -- whether it’s COVID-19 variants today or other viruses in the future -- through a process known as genomic sequencing.
Show this thread",11,66,144
CDC,@CDCgov,2021-04-16T17:54:04.000Z,"As #COVID19 vaccines roll out, cities are working to make sure people at higher risk for severe illness are getting vaccinated. Learn about Baltimore’s unique approach to distributing COVID-19 vaccines and educating its African American faith community: https://bit.ly/2RH7Lj1.",16,73,140
CDC,@CDCgov,2021-04-16T17:04:02.000Z,"#DYK? Older adults are at high risk of getting seriously ill with #COVID19. To help protect them, older adults, their caregivers, and families all need to get vaccinated. Learn how community organizations can help: https://bit.ly/3tSvIlQ.",25,61,134
